ID_Cliente,Tem_Carro,Tem_Casa_Propria,Qtd_Filhos,Rendimento_Anual,Categoria_de_renda,Grau_Escolaridade,Estado_Civil,Moradia,Idade,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Ocupacao,Tamanho_Familia,Anos_empregado,Mau
5008884,0,1,0,315000.0,Pensionista,Ensino medio,Viuvo,Casa propria,55.0,0,0,0,Outros,1.0,-1.0,0
5008892,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008893,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008894,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008895,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008896,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008897,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008898,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008899,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008900,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008901,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008902,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008903,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008904,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008905,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008906,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008907,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008908,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008909,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008910,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008911,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008912,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008913,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008914,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008915,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008916,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008917,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008918,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008919,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008920,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008921,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008922,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008923,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008924,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008925,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Alugado,43.0,0,0,0,Construcao Civil,1.0,8.9,0
5008942,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa propria,37.0,0,1,0,Alta tecnologia,2.0,13.3,0
5008943,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa propria,37.0,0,1,0,Alta tecnologia,2.0,13.3,0
5008944,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa propria,37.0,0,1,0,Alta tecnologia,2.0,13.3,0
5008945,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa propria,37.0,0,1,0,Alta tecnologia,2.0,13.3,0
5008946,0,0,0,157500.0,Associado comercial,Ensino superior,Casado,Casa propria,37.0,0,1,0,Alta tecnologia,2.0,13.3,0
5008947,0,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,42.0,1,1,0,Motorista,2.0,3.9,0
5008948,0,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,42.0,1,1,0,Motorista,2.0,3.9,0
5008950,0,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,42.0,1,1,0,Motorista,2.0,3.9,0
5008951,0,1,1,225000.0,Empregado,Ensino medio,Casado,Casa propria,28.0,0,0,0,Outros,3.0,7.7,0
5008952,0,1,1,225000.0,Empregado,Ensino medio,Casado,Casa propria,28.0,0,0,0,Outros,3.0,7.7,0
5008953,0,1,1,225000.0,Empregado,Ensino medio,Casado,Casa propria,28.0,0,0,0,Outros,3.0,7.7,0
5008956,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008957,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008959,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008960,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008962,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008963,1,1,0,135000.0,Empregado,Ensino medio,Casado,Casa propria,49.0,0,0,0,Construcao Civil,2.0,4.7,0
5008966,0,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,44.0,0,1,0,Outros,2.0,2.4,0
5008967,0,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,44.0,0,1,0,Outros,2.0,2.4,0
5008975,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa propria,61.0,0,0,0,Outros,2.0,-1.0,0
5008977,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa propria,61.0,0,0,0,Outros,2.0,-1.0,0
5008978,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa propria,61.0,0,0,0,Outros,2.0,-1.0,0
5008979,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa propria,61.0,0,0,0,Outros,2.0,-1.0,0
5008980,0,1,0,112500.0,Pensionista,Ensino medio,Casado,Casa propria,61.0,0,0,0,Outros,2.0,-1.0,0
5008984,1,1,0,112500.0,Servidor publico,Ensino medio,Casado,Casa propria,57.0,0,1,0,Motorista,2.0,6.5,0
5008988,1,1,0,112500.0,Servidor publico,Ensino medio,Casado,Casa propria,57.0,0,1,0,Motorista,2.0,6.5,0
5008991,1,1,0,270000.0,Empregado,Ensino medio,Separado,Casa propria,45.0,1,1,0,Limpeza,1.0,3.3,0
5008993,1,1,0,270000.0,Empregado,Ensino medio,Separado,Casa propria,45.0,1,1,0,Limpeza,1.0,3.3,0
5008994,1,1,0,270000.0,Empregado,Ensino medio,Separado,Casa propria,45.0,1,1,0,Limpeza,1.0,3.3,0
5008995,1,1,0,270000.0,Empregado,Ensino medio,Separado,Casa propria,45.0,1,1,0,Limpeza,1.0,3.3,0
5112861,1,1,0,270000.0,Empregado,Ensino medio,Separado,Casa propria,45.0,1,1,0,Limpeza,1.0,3.3,0
5009000,1,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,27.0,0,0,0,Motorista,2.0,2.3,0
5009016,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009018,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009019,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009020,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009022,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009023,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009025,0,1,2,216000.0,Servidor publico,Ensino superior,Casado,Casa propria,42.0,0,0,1,Outros,4.0,8.5,0
5009027,1,1,0,270000.0,Associado comercial,Ensino medio,Casado,Casa propria,54.0,0,0,1,Construcao Civil,2.0,29.7,0
5112862,1,1,0,270000.0,Associado comercial,Ensino medio,Casado,Casa propria,54.0,0,0,1,Construcao Civil,2.0,29.7,0
5009029,1,1,0,225000.0,Associado comercial,Ensino medio,Casado,Casa propria,40.0,0,0,0,Construcao Civil,2.0,7.6,0
5009031,0,1,0,315000.0,Empregado,Ensino medio,Solteiro,Casa propria,29.0,0,0,0,Contabilidade,1.0,3.3,0
5009032,0,1,0,315000.0,Empregado,Ensino medio,Solteiro,Casa propria,29.0,0,0,0,Contabilidade,1.0,3.3,0
5009033,0,0,0,255150.0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,51.0,0,0,0,Outros,2.0,-1.0,0
5009034,0,0,0,255150.0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,51.0,0,0,0,Outros,2.0,-1.0,0
5009036,0,0,0,255150.0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,51.0,0,0,0,Outros,2.0,-1.0,0
5009037,0,0,0,255150.0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,51.0,0,0,0,Outros,2.0,-1.0,0
5009038,0,0,0,255150.0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,51.0,0,0,0,Outros,2.0,-1.0,0
5009042,0,1,0,148500.0,Empregado,Ensino superior,Casado,Casa propria,48.0,0,0,0,Equipe principal,2.0,2.4,0
5009043,0,1,0,148500.0,Empregado,Ensino superior,Casado,Casa propria,48.0,0,0,0,Equipe principal,2.0,2.4,0
5009044,0,1,0,148500.0,Empregado,Ensino superior,Casado,Casa propria,48.0,0,0,0,Equipe principal,2.0,2.4,0
5009045,0,1,0,148500.0,Empregado,Ensino superior,Casado,Casa propria,48.0,0,0,0,Equipe principal,2.0,2.4,0
5009050,0,1,2,202500.0,Empregado,Ensino superior,Casado,Casa propria,30.0,0,0,1,Equipe principal,4.0,6.3,0
5009051,0,1,2,202500.0,Empregado,Ensino superior,Casado,Casa propria,30.0,0,0,1,Equipe principal,4.0,6.3,0
5009052,0,1,2,202500.0,Empregado,Ensino superior,Casado,Casa propria,30.0,0,0,1,Equipe principal,4.0,6.3,0
5009053,0,1,2,202500.0,Empregado,Ensino superior,Casado,Casa propria,30.0,0,0,1,Equipe principal,4.0,6.3,0
5009055,0,1,2,202500.0,Empregado,Ensino superior,Casado,Casa propria,30.0,0,0,1,Equipe principal,4.0,6.3,0
5009062,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009063,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009066,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009068,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009069,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009070,1,1,0,315000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,29.0,0,0,0,Venda,2.0,5.7,0
5009071,1,1,0,270000.0,Associado comercial,Ensino superior incompleto,Uniao estavel,Habitacao publica,28.0,0,1,1,Alta tecnologia,2.0,8.7,0
5009072,1,1,0,270000.0,Associado comercial,Ensino superior incompleto,Uniao estavel,Habitacao publica,28.0,0,1,1,Alta tecnologia,2.0,8.7,0
5009078,0,1,1,180000.0,Empregado,Ensino medio,Casado,Mora com os pais,39.0,0,0,0,Motorista,3.0,3.5,0
5009079,0,1,0,112500.0,Empregado,Ensino superior,Uniao estavel,Casa propria,28.0,0,0,1,Construcao Civil,2.0,8.7,0
5009080,0,1,0,112500.0,Empregado,Ensino superior,Uniao estavel,Casa propria,28.0,0,0,1,Construcao Civil,2.0,8.7,0
5009081,0,1,0,112500.0,Empregado,Ensino superior,Uniao estavel,Casa propria,28.0,0,0,1,Construcao Civil,2.0,8.7,0
5009083,0,1,0,90000.0,Empregado,Ensino medio,Casado,Casa propria,56.0,0,0,0,Motorista,2.0,15.7,0
5009088,1,0,2,202500.0,Associado comercial,Ensino superior,Casado,Casa propria,40.0,0,0,0,Construcao Civil,4.0,8.2,0
5009089,1,0,2,202500.0,Associado comercial,Ensino superior,Casado,Casa propria,40.0,0,0,0,Construcao Civil,4.0,8.2,0
5009090,1,1,0,247500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,0,0,Motorista,2.0,11.0,0
5009096,0,1,1,270000.0,Associado comercial,Ensino medio,Casado,Casa propria,37.0,0,0,1,Contabilidade,3.0,12.0,0
5009097,0,1,1,270000.0,Associado comercial,Ensino medio,Casado,Casa propria,37.0,0,0,1,Contabilidade,3.0,12.0,0
5009098,0,1,1,270000.0,Associado comercial,Ensino medio,Casado,Casa propria,37.0,0,0,1,Contabilidade,3.0,12.0,0
5009099,0,1,0,315000.0,Empregado,Ensino superior,Separado,Casa propria,36.0,0,0,0,Gerencia,1.0,1.5,0
5009100,0,1,0,315000.0,Empregado,Ensino superior,Separado,Casa propria,36.0,0,0,0,Gerencia,1.0,1.5,0
5009103,1,1,2,157500.0,Empregado,Ensino medio,Casado,Mora com os pais,35.0,0,1,0,Motorista,4.0,11.1,0
5009104,1,1,2,157500.0,Empregado,Ensino medio,Casado,Mora com os pais,35.0,0,1,0,Motorista,4.0,11.1,0
5009105,1,1,2,157500.0,Empregado,Ensino medio,Casado,Mora com os pais,35.0,0,1,0,Motorista,4.0,11.1,0
5009106,1,1,2,157500.0,Empregado,Ensino medio,Casado,Mora com os pais,35.0,0,1,0,Motorista,4.0,11.1,0
5112876,1,1,2,157500.0,Empregado,Ensino medio,Casado,Mora com os pais,35.0,0,1,0,Motorista,4.0,11.1,0
5009109,0,1,0,360000.0,Associado comercial,Ensino medio,Casado,Casa propria,42.0,0,0,0,Seguranca,2.0,7.5,0
5009116,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009117,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009118,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009120,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009122,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009123,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009124,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009125,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009126,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009127,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009128,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009130,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009131,0,0,0,157500.0,Associado comercial,Ensino superior,Separado,Mora com os pais,43.0,0,0,0,Outros,1.0,1.2,0
5009133,0,1,0,382500.0,Pensionista,Ensino medio,Viuvo,Casa propria,59.0,0,0,0,Outros,1.0,-1.0,0
5009134,0,1,0,382500.0,Pensionista,Ensino medio,Viuvo,Casa propria,59.0,0,0,0,Outros,1.0,-1.0,0
5009136,0,1,0,382500.0,Pensionista,Ensino medio,Viuvo,Casa propria,59.0,0,0,0,Outros,1.0,-1.0,0
5009138,0,1,0,382500.0,Pensionista,Ensino medio,Viuvo,Casa propria,59.0,0,0,0,Outros,1.0,-1.0,0
5009141,0,0,0,135000.0,Empregado,Ensino medio,Uniao estavel,Casa propria,26.0,1,1,0,Gerencia,2.0,4.3,0
5009145,1,0,0,315000.0,Empregado,Ensino superior,Casado,Casa propria,43.0,1,1,0,Gerencia,2.0,10.2,0
5009146,1,0,0,315000.0,Empregado,Ensino superior,Casado,Casa propria,43.0,1,1,0,Gerencia,2.0,10.2,0
5009147,1,0,0,315000.0,Empregado,Ensino superior,Casado,Casa propria,43.0,1,1,0,Gerencia,2.0,10.2,0
5009150,1,0,0,315000.0,Empregado,Ensino superior,Casado,Casa propria,43.0,1,1,0,Gerencia,2.0,10.2,0
5009151,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009152,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009153,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009154,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009155,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009156,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009157,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009158,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009159,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009160,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009161,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009162,0,0,0,180000.0,Empregado,Ensino medio,Casado,Casa propria,54.0,0,0,0,Venda,2.0,7.9,0
5009163,0,0,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,1,0,Venda,2.0,8.7,0
5009164,0,0,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,1,0,Venda,2.0,8.7,0
5009165,0,0,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,1,0,Venda,2.0,8.7,0
5009166,0,0,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,1,0,Venda,2.0,8.7,0
5009168,0,0,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,1,0,Venda,2.0,8.7,0
5009170,1,0,0,144000.0,Pensionista,Ensino medio,Casado,Casa propria,63.0,0,1,1,Outros,2.0,-1.0,0
5009177,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009178,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009179,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009180,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009181,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009182,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009183,1,0,0,229500.0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,50.0,0,0,0,Construcao Civil,2.0,3.4,0
5009188,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009189,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009190,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009191,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009192,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009193,0,0,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,48.0,1,1,0,Gerencia,2.0,15.9,0
5009198,0,0,0,292500.0,Servidor publico,Ensino medio,Casado,Casa propria,57.0,1,1,0,Contabilidade,2.0,23.8,0
5009203,0,0,0,292500.0,Servidor publico,Ensino medio,Casado,Casa propria,57.0,1,1,0,Contabilidade,2.0,23.8,0
